Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Rodri,ESP,MF,27,34,34,2931,8,9,0,8,1,4.1,3.9,Manchester-City
Phil Foden,ENG,"FW,MF",23,35,33,2857,19,8,0,2,0,10.3,8.4,Manchester-City
Ederson,BRA,GK,29,33,33,2785,0,0,0,5,0,0,0.1,Manchester-City
Julian Alvarez,ARG,"MF,FW",23,36,31,2647,11,8,2,2,0,13,6.4,Manchester-City
Kyle Walker,ENG,DF,33,32,30,2767,0,4,0,2,0,0.4,2.6,Manchester-City
Bernardo Silva,POR,"MF,FW",28,33,29,2578,6,9,0,8,0,3.7,7.6,Manchester-City
Erling Haaland,NOR,FW,23,31,29,2552,27,5,7,1,0,29.2,4.3,Manchester-City
Ruben Dias,POR,DF,26,30,28,2559,0,0,0,0,0,1.4,0.3,Manchester-City
Manuel Akanji,SUI,"DF,MF",28,30,28,2511,2,0,0,4,1,1.9,0.5,Manchester-City
Josko Gvardiol,CRO,DF,21,28,26,2328,4,1,0,3,0,3.1,1.4,Manchester-City
Nathan Ake,NED,DF,28,29,24,2042,2,2,0,0,0,2.5,1.2,Manchester-City
Jeremy Doku,BEL,"FW,MF",21,29,18,1595,3,8,0,3,0,2.5,4.6,Manchester-City
Mateo Kovacic,CRO,MF,29,30,16,1551,1,0,0,4,0,1.3,1.6,Manchester-City
Kevin De Bruyne,BEL,MF,32,18,15,1221,4,10,0,2,0,2.4,11.5,Manchester-City
John Stones,ENG,"DF,MF",29,16,12,1064,1,0,0,2,0,1,0.2,Manchester-City
Jack Grealish,ENG,"FW,MF",27,20,10,1009,3,1,0,6,0,2.1,2.5,Manchester-City
Rico Lewis,ENG,"DF,MF",18,16,8,809,2,0,0,1,0,0.6,1.1,Manchester-City
Matheus Nunes,POR,MF,24,17,7,661,0,2,0,0,0,0.8,1.1,Manchester-City
Stefan Ortega,GER,GK,30,9,5,635,0,0,0,0,0,0,0,Manchester-City
Oscar Bobb,NOR,"FW,MF",20,14,2,302,1,1,0,0,0,1.4,1.2,Manchester-City
Kalvin Phillips,ENG,MF,27,4,0,93,0,0,0,0,0,0.1,0,Manchester-City
Sergio Gomez,ESP,"FW,MF",22,6,0,53,0,1,0,0,0,0.2,0.2,Manchester-City
Aymeric Laporte,ESP,DF,29,1,0,12,0,0,0,0,0,0,0,Manchester-City
